Title,Year,Genre,Rating,Duration,Description,Stars,Directors
Bayi Ajaib,2023,Horror,5.5,99,A newly rich and recently married man's comfortable life threatens to crumble when his infant child is possessed by an unholy spirit with a grudge.,"['Vino G. Bastian', 'Adipati Dolken', 'Desy Ratnasari', 'T. Rifnu Wikana']",['Rako Prijanto']
Serbuan maut,2011,"Action, Crime, Thriller",7.6,101,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,"['Iko Uwais', 'Ananda George', 'Ray Sahetapy', 'Donny Alamsyah']",['Gareth Evans']
Serbuan maut 2: Berandal,2014,"Action, Crime, Thriller",7.9,150,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.","['Iko Uwais', 'Yayan Ruhian', 'Arifin Putra', 'Oka Antara']",['Gareth Evans']
The Night Comes for Us,2018,"Action, Crime, Thriller",6.9,121,"Ito, a gangland enforcer, caught amidst a treacherous and violent insurrection within his Triad crime family upon his return home from a stint abroad.","['Iko Uwais', 'Joe Taslim', 'Julie Estelle', 'Hannah Al Rashid']",['Timo Tjahjanto']
Ivanna,2022,"Horror, Mystery, Thriller",5.7,103,"Ambar and his family were terrorized when they celebrated Lebaran in the Bandung area. Ambar, a beautiful young woman who has limited vision, is able to see things that other people can't see.","['Caitlin Halderman', 'Jovarel Callum', 'Junior Roberts', 'Shandy William']",['Kimo Stamboel']
Anwar: The Untold Story,2023,"Biography, Drama, History",4.8,108,"Based on the period in Malaysian Prime Minister Datuk Seri Anwar Ibrahim's life when he became Finance Minister from 1991 until he was fired from the Cabinet in 1998, which sparked a period...                See full summary »","['Farid Kamil', 'Hasnul Rahmat', 'Acha Septriasa', 'Nurul Izzah Anwar']",['Viva Westi']
The Big Four,2022,"Action, Comedy, Crime",6.1,141,Tells the story of an elite assassin that is targeted by murderous gangsters after sparing a girl's life during a massacre.,"['Abimana Aryasatya', 'Putri Marino', 'Lutesha', 'Arie Kriting']",['Timo Tjahjanto']
Satan's Slaves,2017,"Drama, Horror, Mystery",6.5,107,"After dying from a strange illness that she suffered for 3 years, a mother returns home to pick up her children.","['Tara Basro', 'Bront Palarae', 'Dimas Aditya', 'Endy Arfian']",['Joko Anwar']
Sleeping Beauties,2023,"Drama, Horror",5.4,90,"Cahya gets a job as a maid working in an isolated old mansion. Pregnant and a recent widow, she is desperate to reconnect with her husband, opening a doorway to the spirit world. And in ...                See full summary »","['Intan Kieflie', 'Jeffery Richards', 'Mandie Combe', 'Mark Adams']",['Stuart Simpson']
Impetigore,2019,"Horror, Mystery, Thriller",6.6,106,A toll booth operator travels to her ancestral village in hopes of claiming an inheritance - until she discovers the unsettling truth about her past.,"['Tara Basro', 'Ario Bayu', 'Marissa Anita', 'Christine Hakim']",['Joko Anwar']
Pengabdi Setan 2: Communion,2022,"Drama, Horror, Mystery",6.9,119,"When the heavy storm hits, it wasn't the storm that a family should fear but the people and non-human entities who are out for them.","['Tara Basro', 'Endy Arfian', 'Nasar Annuz', 'Bront Palarae']",['Joko Anwar']
Jagat Arwah,2022,"Adventure, Fantasy, Horror",5.4,107,A young musician reluctantly accepts his destiny as a guardian to the world of humans and spirits to fight the forces of evil.,"['Ari Irham', 'Oka Antara', 'Cinta Laura Kiehl', 'Sheila Dara Aisha']",['Ruben Adrian']
One Night Stand,IV) (2021,"Drama, Romance",6.6,80,A young man's trip to attend a funeral and a wedding on the same day leads to a journey of self-discovery when he's captivated by a chance encounter.,"['Jourdy Pranata', 'Putri Marino', 'Elang El Gibran', 'Tegar Satrya']",['Adriyanto Dewo']
Headshot,II) (2016,"Action, Drama, Thriller",6.3,118,"Uwais plays a young man who washes ashore, an amnesiac with a serious head injury whose past comes back to haunt him shortly after being nursed back to health by a young doctor. Violence ensues. Sweet, sweet violence.","['Iko Uwais', 'Chelsea Islan', 'Sunny Pang', 'Very Tri Yulisman']","['Kimo Stamboel', 'Timo Tjahjanto']"
Hitam,2021 TV Movie,"Horror, Mystery, Thriller",8.6,45,"Village Chief Dibyo found Rahmat's mangled body behind his house. When Rahmat's daughter, the Police, and the villagers all work to unravel the case, why does Dibyo get in their way? Who is Dibyo protecting as the victims keep piling up?","['Donny Damara', 'Aksara Dena', 'Elang El Gibran', 'Sara Fajira']",['Sidharta Tata']
Teluh Darah,2022–2023,"Horror, Thriller",8.2,49,"The families of two people are terrorized by black magic attacks. To protect their loved ones, they go after the culprit behind the mystical events.","['Mikha Tambayong', 'Deva Mahenra', 'Justin Adiwinata', 'Ence Bagus']",[]
18+,2010,Drama,5.2,90,Add a Plot,"['Arumy Bachsin', 'Rangga Djoned', 'Adipati Dolken', 'Wulan Guritno']",['Nayato Fio Nuala']
Macabre,II) (2009,"Drama, Horror, Thriller",6.4,95,"Two newly weds Adjie and Astrid, along with 3 of their best friends decided to have an interstate road trip as a last attempt to reconcile Adjie with his estranged little sister Ladya. ...                See full summary »","['Shareefa Daanish', 'Julie Estelle', 'Ario Bayu', 'Sigi Wimala']","['Kimo Stamboel', 'Timo Tjahjanto']"
Sebelum Iblis Menjemput,2018,"Horror, Mystery, Thriller",5.9,110,"When her estranged father falls into a mysterious coma, a young woman seeks answers at his old villa, where she and her stepsister uncover dark truths.","['Chelsea Islan', 'Pevita Pearce', 'Ray Sahetapy', 'Karina Suwandhi']",['Timo Tjahjanto']
Sewu Dino,2023,Horror,6.5,121,"Sri is tasked to do a cleansing ritual for Dela Atmojo, an unconscious girl who is suffering from 1000 days-hex. The terror begins when her friend neglects to finish the ritual. Failing until the 1000th day will result in their demise.","['Mikha Tambayong', 'Rio Dewanto', 'Givina Lukita', 'Agla Artalidia']",['Kimo Stamboel']
The Exocet,2020,Drama,5.7,100,One man's dream to become an actor leads him to the big city of Jakarta - but the path to stardom isn't as easy as he originally thought.,"['Jefri Nichol', 'Wulan Guritno', 'Ganindra Bimo', 'Jajang C. Noer']",['Robby Ertanto']
Ratu Ilmu Hitam,2019,"Drama, Horror, Mystery",6.5,99,"Revisiting the orphanage where they grew up, three men and their families discover a horrific supernatural presence lingering in their former home.","['Ario Bayu', 'Hannah Al Rashid', 'Adhisty Zara', 'Muzakki Ramdhan']",['Kimo Stamboel']
Qorin,2022,"Horror, Mystery, Thriller",5.0,109,Life at a boarding school descends into chaos when a teacher instructs his students to perform a forbidden ritual that summons their doppelgängers.,"['Zulfa Maharani', 'Omar Daniel', 'Aghniny Haque', 'Dea Annisa']",['Ginanti Rona']
Pretty Little Liars,2019– ,"Drama, Mystery, Romance",7.1,45,"Indonesian teen drama based on the American TV series 'Pretty Little Liars', centering on the lives of four female students whose clique falls apart when their leader goes mysteriously missing.","['Anya Geraldine', 'Caitlin Halderman', 'Shindy Huang', 'Valerie Thomas']",[]
A+,2023,"Crime, Drama, Thriller",8.6,,Kaliypso Dirgantari battles the top four throne-holders at Bina Indonesia High School to break into first place until an epic secret is exposed.,"['Aisha Nurra Datau', 'Antonio Blanco Jr.', 'Ziva Magnolya', 'Rey Bong']",[]
Qodrat,2022,"Action, Drama, Fantasy",6.5,102,"Villagers around the Kahuripan Islamic Boarding School experienced many disturbances, from crop failure to possession. What happened?","['Vino G. Bastian', 'Marsha Timothy', 'Maudy Effrosina', 'Randy Pangalila']","['Charles Gozali', 'Imron Ayikayu']"
